time_exchange,time_coinapi,ask_price,ask_size,bid_size,bid_price,symbol_id,sequence,type
2025-11-23T22:33:34.8573640Z,2025-11-23T22:33:34.8660223Z,87716.28,0.02331944,0.00271944,87716.27,COINBASE_SPOT_BTC_USD,13071940,quote
2025-11-23T22:33:34.8573640Z,2025-11-23T22:33:34.8665848Z,87716.28,0.02331944,0.02276521,87716.25,COINBASE_SPOT_BTC_USD,13071941,quote
2025-11-23T22:33:34.8614340Z,2025-11-23T22:33:34.8690283Z,87716.26,0.0133,0.02276521,87716.25,COINBASE_SPOT_BTC_USD,13071942,quote
2025-11-23T22:33:34.8820750Z,2025-11-23T22:33:34.8884012Z,87716.26,0.0133,0.02282598,87716.25,COINBASE_SPOT_BTC_USD,13071943,quote
2025-11-23T22:33:34.8841620Z,2025-11-23T22:33:34.8903314Z,87716.28,0.02331944,0.02282598,87716.25,COINBASE_SPOT_BTC_USD,13071944,quote
2025-11-23T22:33:34.9013000Z,2025-11-23T22:33:34.9086057Z,87716.28,0.02331944,6.077e-05,87716.27,COINBASE_SPOT_BTC_USD,13071945,quote
2025-11-23T22:33:35.7280190Z,2025-11-23T22:33:35.7354611Z,87716.28,0.08687944,6.077e-05,87716.27,COINBASE_SPOT_BTC_USD,13071946,quote
2025-11-23T22:33:35.7485370Z,2025-11-23T22:33:35.7554292Z,87716.28,0.08687944,6.715e-05,87716.27,COINBASE_SPOT_BTC_USD,13071947,quote
2025-11-23T22:33:35.8587060Z,2025-11-23T22:33:35.8660608Z,87716.28,0.08633944,6.715e-05,87716.27,COINBASE_SPOT_BTC_USD,13071948,quote
2025-11-23T22:33:35.8612860Z,2025-11-23T22:33:35.8689054Z,87716.28,0.08633944,6.38e-06,87716.27,COINBASE_SPOT_BTC_USD,13071949,quote
2025-11-23T22:33:35.8612860Z,2025-11-23T22:33:35.8692491Z,87716.28,0.08633944,0.02234508,87716.25,COINBASE_SPOT_BTC_USD,13071950,quote
2025-11-23T22:33:35.8643390Z,2025-11-23T22:33:35.8704669Z,87716.28,0.02277944,0.02234508,87716.25,COINBASE_SPOT_BTC_USD,13071951,quote
2025-11-23T22:33:35.8655770Z,2025-11-23T22:33:35.8725123Z,87716.26,0.17084,0.02234508,87716.25,COINBASE_SPOT_BTC_USD,13071952,quote
2025-11-23T22:33:35.8842620Z,2025-11-23T22:33:35.8905506Z,87716.26,0.17084,0.02240585,87716.25,COINBASE_SPOT_BTC_USD,13071953,quote
2025-11-23T22:33:36.1178630Z,2025-11-23T22:33:36.1240800Z,87716.26,0.17084,0.02243541,87716.25,COINBASE_SPOT_BTC_USD,13071954,quote
2025-11-23T22:33:36.4140320Z,2025-11-23T22:33:36.4244337Z,87716.26,0.19599098,0.02243541,87716.25,COINBASE_SPOT_BTC_USD,13071955,quote
2025-11-23T22:33:36.5783450Z,2025-11-23T22:33:36.5853793Z,87716.26,0.02515098,0.02243541,87716.25,COINBASE_SPOT_BTC_USD,13071956,quote
2025-11-23T22:33:36.7499890Z,2025-11-23T22:33:36.7570320Z,87716.26,0.02515098,0.02379205,87716.25,COINBASE_SPOT_BTC_USD,13071957,quote
2025-11-23T22:33:38.0791480Z,2025-11-23T22:33:38.0863969Z,87716.26,0.02115098,0.02379205,87716.25,COINBASE_SPOT_BTC_USD,13071958,quote
2025-11-23T22:33:38.3993310Z,2025-11-23T22:33:38.4066768Z,87716.26,0.06157098,0.02379205,87716.25,COINBASE_SPOT_BTC_USD,13071959,quote
2025-11-23T22:33:38.4207180Z,2025-11-23T22:33:38.4272528Z,87716.26,0.06157098,0.02379364,87716.25,COINBASE_SPOT_BTC_USD,13071960,quote
2025-11-23T22:33:38.5008540Z,2025-11-23T22:33:38.5089641Z,87716.26,0.06113856,0.02379364,87716.25,COINBASE_SPOT_BTC_USD,13071961,quote
2025-11-23T22:33:38.5292470Z,2025-11-23T22:33:38.5355894Z,87716.26,0.09171129,0.02379364,87716.25,COINBASE_SPOT_BTC_USD,13071962,quote
2025-11-23T22:33:38.5395100Z,2025-11-23T22:33:38.5582396Z,87713.83,0.0917,1.3e-05,87710.01,COINBASE_SPOT_BTC_USD,13071963,quote
2025-11-23T22:33:38.5417020Z,2025-11-23T22:33:38.5606387Z,87713.83,0.0917,1.3e-05,87706.2,COINBASE_SPOT_BTC_USD,13071964,quote
2025-11-23T22:33:38.5436290Z,2025-11-23T22:33:38.5636740Z,87712.0,0.0186,1.3e-05,87706.2,COINBASE_SPOT_BTC_USD,13071965,quote
2025-11-23T22:33:38.5462280Z,2025-11-23T22:33:38.5655730Z,87712.0,0.0186,0.00113956,87709.27,COINBASE_SPOT_BTC_USD,13071966,quote
2025-11-23T22:33:38.5463660Z,2025-11-23T22:33:38.5703596Z,87711.76,0.05700489,0.00113956,87709.27,COINBASE_SPOT_BTC_USD,13071967,quote
2025-11-23T22:33:38.5501910Z,2025-11-23T22:33:38.5776674Z,87711.72,0.01854419,0.00113956,87709.27,COINBASE_SPOT_BTC_USD,13071968,quote
2025-11-23T22:33:38.5524730Z,2025-11-23T22:33:38.5802050Z,87709.43,0.08073,0.00113956,87709.27,COINBASE_SPOT_BTC_USD,13071969,quote
2025-11-23T22:33:38.5550120Z,2025-11-23T22:33:38.5829211Z,87710.0,0.0186,0.00113956,87709.27,COINBASE_SPOT_BTC_USD,13071970,quote
2025-11-23T22:33:38.5561520Z,2025-11-23T22:33:38.5849919Z,87710.0,0.0186,1.3e-05,87706.2,COINBASE_SPOT_BTC_USD,13071971,quote
2025-11-23T22:33:38.5575790Z,2025-11-23T22:33:38.5861399Z,87709.28,0.12559,0.03790309,87705.12,COINBASE_SPOT_BTC_USD,13071972,quote
2025-11-23T22:33:38.5612270Z,2025-11-23T22:33:38.5890472Z,87709.28,0.12559,0.00113956,87709.18,COINBASE_SPOT_BTC_USD,13071973,quote
2025-11-23T22:33:38.5622560Z,2025-11-23T22:33:38.5901751Z,87709.28,0.12559,0.02906787,87705.12,COINBASE_SPOT_BTC_USD,13071974,quote
2025-11-23T22:33:38.5659100Z,2025-11-23T22:33:38.5935790Z,87706.0,0.0186,0.00223282,87704.22,COINBASE_SPOT_BTC_USD,13071975,quote
2025-11-23T22:33:38.5715240Z,2025-11-23T22:33:38.6765892Z,87705.61,0.07889,0.00223282,87704.22,COINBASE_SPOT_BTC_USD,13071976,quote
2025-11-23T22:33:38.5731140Z,2025-11-23T22:33:38.6790587Z,87705.13,0.12559,0.00223282,87704.22,COINBASE_SPOT_BTC_USD,13071977,quote
2025-11-23T22:33:38.5814450Z,2025-11-23T22:33:38.6834270Z,87705.95,0.02971895,1.3e-05,87702.39,COINBASE_SPOT_BTC_USD,13071978,quote
2025-11-23T22:33:38.5826440Z,2025-11-23T22:33:38.6898238Z,87704.0,0.0186,1.3e-05,87702.39,COINBASE_SPOT_BTC_USD,13071979,quote
2025-11-23T22:33:38.5867780Z,2025-11-23T22:33:38.6945108Z,87703.88,0.03118857,1.3e-05,87702.39,COINBASE_SPOT_BTC_USD,13071980,quote
2025-11-23T22:33:38.5928260Z,2025-11-23T22:33:38.6979962Z,87702.4,0.03692,1.3e-05,87702.39,COINBASE_SPOT_BTC_USD,13071981,quote
2025-11-23T22:33:38.6485010Z,2025-11-23T22:33:38.7157061Z,87702.4,0.03579157,7.386e-05,87702.39,COINBASE_SPOT_BTC_USD,13071982,quote
2025-11-23T22:33:38.6489120Z,2025-11-23T22:33:38.7158440Z,87703.47,0.05701028,7.386e-05,87702.39,COINBASE_SPOT_BTC_USD,13071983,quote
2025-11-23T22:33:38.6527880Z,2025-11-23T22:33:38.7162748Z,87702.4,0.06576,7.386e-05,87702.39,COINBASE_SPOT_BTC_USD,13071984,quote
2025-11-23T22:33:38.7382110Z,2025-11-23T22:33:38.7442862Z,87703.46,0.09915113,7.386e-05,87702.39,COINBASE_SPOT_BTC_USD,13071985,quote
2025-11-23T22:33:38.7473490Z,2025-11-23T22:33:38.7555912Z,87704.0,0.0186,6.086e-05,87703.45,COINBASE_SPOT_BTC_USD,13071986,quote
2025-11-23T22:33:38.7594680Z,2025-11-23T22:33:38.7762197Z,87703.46,0.10772029,6.086e-05,87703.45,COINBASE_SPOT_BTC_USD,13071987,quote
2025-11-23T22:33:38.7972950Z,2025-11-23T22:33:38.8047662Z,87703.46,0.13737279,6.086e-05,87703.45,COINBASE_SPOT_BTC_USD,13071988,quote
2025-11-23T22:33:38.9745880Z,2025-11-23T22:33:38.9822049Z,87703.46,0.13737279,1.392e-05,87703.45,COINBASE_SPOT_BTC_USD,13071989,quote
2025-11-23T22:33:38.9788460Z,2025-11-23T22:33:38.9848147Z,87703.46,0.13737279,6.086e-05,87703.45,COINBASE_SPOT_BTC_USD,13071990,quote
2025-11-23T22:33:38.9952410Z,2025-11-23T22:33:39.0024544Z,87703.46,0.13624279,6.086e-05,87703.45,COINBASE_SPOT_BTC_USD,13071991,quote
2025-11-23T22:33:39.1080370Z,2025-11-23T22:33:39.1155207Z,87703.46,0.13717779,6.086e-05,87703.45,COINBASE_SPOT_BTC_USD,13071992,quote
2025-11-23T22:33:39.1105550Z,2025-11-23T22:33:39.1166177Z,87703.46,0.13624279,6.086e-05,87703.45,COINBASE_SPOT_BTC_USD,13071993,quote
2025-11-23T22:33:39.2987500Z,2025-11-23T22:33:39.3051280Z,87703.46,0.13738257,6.086e-05,87703.45,COINBASE_SPOT_BTC_USD,13071994,quote
2025-11-23T22:33:39.5607150Z,2025-11-23T22:33:39.5696054Z,87703.46,0.13738257,0.00186922,87703.45,COINBASE_SPOT_BTC_USD,13071995,quote
2025-11-23T22:33:39.5665690Z,2025-11-23T22:33:39.5749443Z,87703.46,0.13738257,0.00180836,87703.45,COINBASE_SPOT_BTC_USD,13071996,quote
2025-11-23T22:33:39.5665690Z,2025-11-23T22:33:39.5751134Z,87703.46,0.13738257,1.3e-05,87702.39,COINBASE_SPOT_BTC_USD,13071997,quote
2025-11-23T22:33:39.5699670Z,2025-11-23T22:33:39.5773841Z,87703.46,0.08667257,1.3e-05,87702.39,COINBASE_SPOT_BTC_USD,13071998,quote
2025-11-23T22:33:39.5707090Z,2025-11-23T22:33:39.5802633Z,87703.46,0.08667257,6.04e-05,87703.45,COINBASE_SPOT_BTC_USD,13071999,quote
2025-11-23T22:33:39.5725760Z,2025-11-23T22:33:39.5806576Z,87703.46,0.03079228,6.04e-05,87703.45,COINBASE_SPOT_BTC_USD,13072000,quote
